ID,Name,Description (Short),Name (Chinese),Description (Chinese Short),Name (Spanish),Description (Spanish Short)
10000000voltthunderbolt,"10,000,000 Volt Thunderbolt",Very high critical hit ratio.,千万伏特,戴着帽子的皮卡丘将通过Z力量增强的电击全力释放给对手，容易命中要害。,Gigarrayo Fulminante,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Pikachu con gorra con Ash-Pikastal Z equipado. Alta probabilidad de Golpe Crítico.
absorb,Absorb,User recovers 50% of the damage dealt.,吸取,吸取对手的养分进行攻击，可以回复给予对手伤害的一半ＨＰ。,Absorber,El usuario recupera PS equivalente a la mitad del daño causado.
accelerock,Accelerock,Usually goes first.,冲岩,迅速撞向对手进行攻击，必定能够先制攻击。,Roca Veloz,Golpea primero.
acid,Acid,10% chance to lower the foe(s) Sp. Def by 1.,溶解液,将强酸泼向对手进行攻击，10%几率令目标特防降低1级。,Ácido,10% de reducir un nivel la Defensa Especial al rival.
acidarmor,Acid Armor,Raises the user's Defense by 2.,溶化,通过细胞的变化进行液化，从而大幅提高自己的防御，	令自己防御提升2级。,Armadura Ácida,Aumenta dos niveles la Defensa al usuario.
aciddownpour,Acid Downpour,Power is equal to the base move's Z-Power.,强酸剧毒灭绝雨,通过Ｚ力量使毒沼涌起，全力让对手沉下去，威力会根据原来的招式而改变。,Diluvio Corrosivo,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
acidspray,Acid Spray,100% chance to lower the target's Sp. Def by 2.,酸液炸弹,喷出能溶化对手的液体进行攻击，大幅降低对手的特防，	100%几率令目标特防降低2级。,Bomba Ácida,Baja dos niveles la Defensa Especial al rival.
acrobatics,Acrobatics,Power doubles if the user has no held item.,杂技,轻巧地攻击对手，自己没有携带道具时，威力翻倍。,Acróbata,El poder base se duplica si el usuario no lleva equipado objeto.
acupressure,Acupressure,Raises a random stat of the user or an ally by 2.,点穴,通过点穴让身体舒筋活络，大幅提高某１项能力2级。,Acupresión,"Aumenta dos niveles un stat al azar del usuario (Ataque, Defensa, Ataque Especial, Defensa Especial, Velocidad, Precisión y Evasión)."
aerialace,Aerial Ace,This move does not check accuracy.,燕返,以敏捷的动作戏弄对手后进行切斩，攻击必定会命中。,Golpe Aéreo,Siempre golpea.
aeroblast,Aeroblast,High critical hit ratio.,气旋攻击,发射空气旋涡进行攻击，容易击中要害，击中要害率比普通招式高1级。,Aerochorro,Alta probabilidad de Golpe Crítico.
afteryou,After You,The target makes its move right after the user.,您先请,支援我方或对手的行动，使其紧接着此招式之后行动。,Cede Paso,"Siempre que el Pokémon objetivo haya elegido un ataque sin daño directo, el usuario le obliga a ejecutarlo después de él."
agility,Agility,Raises the user's Speed by 2.,高速移动,让身体放松变得轻盈，以便高速移动，令自己速度提高2级。,Agilidad,Aumenta dos niveles la Velocidad al usuario.
aircutter,Air Cutter,High critical hit ratio. Hits adjacent foes.,空气利刃,用锐利的风切斩对手进行攻击，容易击中要害，击中要害率比普通招式高1级。,Aire Afilado,Alta probabilidad de Golpe Crítico.
airslash,Air Slash,30% chance to flinch the target.,空气斩,用连天空也能劈开的空气之刃进行攻击，有时会使对手畏缩，30%几率令目标畏缩。,Tajo Aéreo,30% de hacer retroceder al rival.
alloutpummeling,All-Out Pummeling,Power is equal to the base move's Z-Power.,全力无双激烈拳,通过Ｚ力量制造出能量弹，全力撞向对手，威力会根据原来的招式而改变。,Ráfaga Demoledora,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
allyswitch,Ally Switch,The user swaps positions with its ally.,交换场地,用神奇的力量瞬间移动，互换自己和同伴所在的位置。,Cambio Banda,El usuario intercambia su posición con la de un Pokémon aliado.
amnesia,Amnesia,Raises the user's Sp. Def by 2.,瞬间失忆,将头脑清空，瞬间忘记某事，从而大幅提高自己的特防，令自己特防提高2级。,Amnesia,Aumenta dos niveles la Defensa Especial al usuario.
