ID,Name,Description (Short),Name (Chinese),Description (Chinese Short)
10000000voltthunderbolt,"10,000,000 Volt Thunderbolt",Very high critical hit ratio.,千万伏特,戴着帽子的皮卡丘将通过Z力量增强的电击全力释放给对手，容易命中要害。
absorb,Absorb,User recovers 50% of the damage dealt.,吸取,吸取对手的养分进行攻击，可以回复给予对手伤害的一半ＨＰ。
accelerock,Accelerock,Usually goes first.,冲岩,迅速撞向对手进行攻击，必定能够先制攻击。
acid,Acid,10% chance to lower the foe(s) Sp. Def by 1.,溶解液,将强酸泼向对手进行攻击，10%几率令目标特防降低1级。
acidarmor,Acid Armor,Raises the user's Defense by 2.,溶化,通过细胞的变化进行液化，从而大幅提高自己的防御，	令自己防御提升2级。
aciddownpour,Acid Downpour,Power is equal to the base move's Z-Power.,强酸剧毒灭绝雨,通过Ｚ力量使毒沼涌起，全力让对手沉下去，威力会根据原来的招式而改变。
acidspray,Acid Spray,100% chance to lower the target's Sp. Def by 2.,酸液炸弹,喷出能溶化对手的液体进行攻击，大幅降低对手的特防，	100%几率令目标特防降低2级。
acrobatics,Acrobatics,Power doubles if the user has no held item.,杂技,轻巧地攻击对手，自己没有携带道具时，威力翻倍。
acupressure,Acupressure,Raises a random stat of the user or an ally by 2.,点穴,通过点穴让身体舒筋活络，大幅提高某１项能力2级。
aerialace,Aerial Ace,This move does not check accuracy.,燕返,以敏捷的动作戏弄对手后进行切斩，攻击必定会命中。
aeroblast,Aeroblast,High critical hit ratio.,气旋攻击,发射空气旋涡进行攻击，容易击中要害，击中要害率比普通招式高1级。
afteryou,After You,The target makes its move right after the user.,您先请,支援我方或对手的行动，使其紧接着此招式之后行动。
agility,Agility,Raises the user's Speed by 2.,高速移动,让身体放松变得轻盈，以便高速移动，令自己速度提高2级。
aircutter,Air Cutter,High critical hit ratio. Hits adjacent foes.,空气利刃,用锐利的风切斩对手进行攻击，容易击中要害，击中要害率比普通招式高1级。
airslash,Air Slash,30% chance to flinch the target.,空气斩,用连天空也能劈开的空气之刃进行攻击，有时会使对手畏缩，30%几率令目标畏缩。
alloutpummeling,All-Out Pummeling,Power is equal to the base move's Z-Power.,全力无双激烈拳,通过Ｚ力量制造出能量弹，全力撞向对手，威力会根据原来的招式而改变。
allyswitch,Ally Switch,The user swaps positions with its ally.,交换场地,用神奇的力量瞬间移动，互换自己和同伴所在的位置。
amnesia,Amnesia,Raises the user's Sp. Def by 2.,瞬间失忆,将头脑清空，瞬间忘记某事，从而大幅提高自己的特防，令自己特防提高2级。
anchorshot,Anchor Shot,Prevents the target from switching out.,掷锚,将锚缠住对手进行攻击，使对手无法逃走。
ancientpower,Ancient Power,10% chance to raise all stats by 1 (not acc/eva).,原始之力,用原始之力进行攻击，有时会提高自己所有的能力，10%几率令自己全部能力提升1级。
appleacid,Apple Acid,100% chance to lower the target's Sp. Def by 1.,苹果酸,使用从酸苹果中提取出来的酸性液体进行攻击，降低对手特防，令对手特防降低1级。
aquajet,Aqua Jet,Usually goes first.,水流喷射,以迅雷不及掩耳之势扑向对手，必定能够先制攻击。
aquaring,Aqua Ring,User recovers 1/16 max HP per turn.,水流环,在自己身体的周围覆盖用水制造的幕，每回合回复ＨＰ。
aquatail,Aqua Tail,No additional effect.,水流尾,如惊涛骇浪般挥动大尾巴攻击对手。
armthrust,Arm Thrust,Hits 2-5 times in one turn.,猛推,用张开着的双手猛推对手进行攻击，连续攻击２～５次。
aromatherapy,Aromatherapy,Cures the user's party of all status conditions.,芳香治疗,让同伴闻沁人心脾的香气，从而治愈我方全员的异常状态。
aromaticmist,Aromatic Mist,Raises an ally's Sp. Def by 1.,芳香薄雾,通过神奇的芳香，提高我方宝可梦的特防，令一位同伴的特防提升1级。
assist,Assist,Uses a random move known by a team member.,借助,向我方紧急求助，从我方宝可梦已学会的招式中随机使用１个。
assurance,Assurance,Power doubles if target was damaged this turn.,恶意追击,如果此回合内对手已经受到伤害的话，招式威力会变成２倍。
astonish,Astonish,30% chance to flinch the target.,惊吓,用尖叫声等突然惊吓对手进行攻击，有时会使对手畏缩，30%几率令目标畏缩。
astralbarrage,Astral Barrage,No additional effect. Hits adjacent foes.,星碎,用大量的小灵体向对手发起攻击。
attackorder,Attack Order,High critical hit ratio.,攻击指令,召唤手下，让其朝对手发起攻击，容易击中要害，击中要害率比普通招式高1级。
attract,Attract,A target of the opposite gender gets infatuated.,迷人,诱惑对手，让对手着迷，对手将很难使出招式。
aurasphere,Aura Sphere,This move does not check accuracy.,波导弹,从体内产生出波导之力，然后向对手发出，攻击必定会命中。
aurawheel,Aura Wheel,Morpeko: Electric; Hangry: Dark; 100% +1 Spe.,气场轮,用储存在颊囊里的能量进行攻击，并提升自己的速度，其属性会随着莫鲁贝可的样子而改变。
aurorabeam,Aurora Beam,10% chance to lower the target's Attack by 1.,极光束,向对手发射虹色光束进行攻击，有时会降低对手的攻击，10%几率令目标攻击降低1级。
auroraveil,Aurora Veil,"For 5 turns, damage to allies is halved. Hail only.",极光幕,在５回合内减弱物理和特殊的伤害，只有冰雹时才能使出。
autotomize,Autotomize,Raises the user's Speed by 2; user loses 100 kg.,身体轻量化,削掉身体上没用的部分。大幅提高自己的速度，同时体重也会变轻，令自己速度提升2级。
avalanche,Avalanche,Power doubles if user is damaged by the target.,雪崩,如果受到对手的招式攻击，就能给予该对手２倍威力的攻击。
babydolleyes,Baby-Doll Eyes,Lowers the target's Attack by 1.,圆瞳,用圆瞳凝视对手，从而降低其攻击。必定能够先制攻击，令目标攻击降低1级。
baddybad,Baddy Bad,Summons Reflect.,坏坏领域,恶行恶相地进行攻击，制造一道能减弱对手的反射壁。
